NPA,Impervious_Surface-2023,Housing_Density-2023,Housing_Size-2023,Housing_Age-2023,New_Residential-2023,Residential_Renovation-2023,Vacant_Land-2023,Commercial_Construction-2023,Early_Care_Proximity-2023,School_Age_Proximity-2023,Single_Family_Housing-2023,Bicycle_Friendliness-2023,Transit_Proximity-2023,Commercial_Space-2023,Commercial_Building_Age-2023,Adopt_a_Stream-2023,Grocery_Proximity-2023,Rental_Houses-2023,Proficiency_Elementary_School-2023,Proficiency_Middle_School-2023,Proficiency_High_School-2023,Highschool_Graduation_Rate-2023,Student_Absenteeism-2023,Neighborhood_School_Attendance-2023,Housing_Violations-2023,Foreclosures-2023,Adopt_a_Street-2023,Board_Committee_Participation-2023,Park_Proximity-2023,Home_Sale_Price-2023,Fincancial_Services_Proximity-2023,Public_Nutrition_Assistance-2023,Subsidized_Housing-2023,Residential_Demolitions-2023
2,23.43316158606484,2.8,1720.0,70.0,1.2,4.1,5.143478553,1.7,37.76408451,79.40140845,44.63028169,1.8,100.0,10689.6087,51.0,100.0,60.65140845,23.47140039,0.3582089552238806,0.4310344827586206,0.1333333333333333,1.0,0.33003300330033,0.429042904290429,0.616197183,0.0,39.16436656,0.0,59.06690141,488364.0,24.47183099,,4.428697963,2.6
3,38.16635024444839,8.4,2807.0,73.0,17.6,7.1,2.133670485,10.6,89.43734542,79.65787304,16.37469085,2.3,100.0,22749.74394,60.0,100.0,60.41838417,18.69100063,0.9126984126984128,0.875,0.9245283018867924,1.0,0.0662557781201849,0.6841294298921418,0.061830173,0.0,57.19001547,0.990017325,91.47774114,667092.0,100.0,,3.889541716,0.6
4,21.78206237863977,1.2,4158.0,45.0,2.1,7.8,3.86541194,2.1,41.56479218,39.85330073,89.24205379,1.7,86.55256724,,,0.0,17.84841076,7.945205479,0.9428571428571428,0.8,0.7692307692307693,1.0,0.0616438356164383,0.7397260273972602,0.0,0.0,14.03411412,2.568493151,1.466992665,1493043.0,15.15892421,,0.0,7.3
5,21.546276295276297,2.1,1195.0,61.0,31.1,0.6,21.34649603,1.2,99.42528736,99.42528736,54.31034483,1.7,96.55172414,25963.61111,56.0,100.0,8.045977011,62.43386243,0.1538461538461538,0.2592592592592592,0.1666666666666666,0.8333333333333334,0.4326241134751773,0.5673758865248227,3.448275862,0.0,25.12365586,0.0,100.0,255031.0,18.96551724,,0.0,2.9
6,25.103400225938337,2.0,1301.0,67.0,5.2,3.2,9.135076635,3.0,100.0,97.32685298,82.9890644,1.8,100.0,9391.938776,56.0,,46.65856622,54.46559297,0.4042553191489361,0.238095238095238,0.3333333333333333,0.9047619047619048,0.3557692307692308,0.5384615384615384,1.944106926,0.313971743,39.65158615,0.0,79.82989064,445698.0,69.86634265,,0.0,8.5
7,28.469767309676072,1.5,5634.0,39.0,1.1,5.1,1.571880173,9.1,0.0,41.70616114,49.0521327,1.5,76.54028436,15555.86735,33.0,99.74474137,66.3507109,5.797101449,0.7857142857142857,0.8571428571428571,,1.0,0.0823529411764705,0.5882352941176471,0.118483412,0.0,46.3452656,0.0,41.70616114,2660173.0,75.59241706,,0.0,3.6
8,16.36731818162996,2.0,2081.0,55.0,0.0,3.0,2.031648199,3.0,15.06849315,12.75684932,39.12671233,1.6,98.71575342,6561.833333,37.0,70.16896762,16.01027397,12.03501094,0.5454545454545454,0.7083333333333334,0.2,0.8333333333333334,0.1351351351351351,0.5405405405405406,0.171232877,0.0,45.9802325,1.078748652,100.0,529911.0,45.71917808,,14.07599309,1.7
9,25.277289741521425,3.7,1992.0,51.0,6.4,8.5,2.94407397,1.1,100.0,100.0,79.94269341,1.9,100.0,2563.611111,72.0,,80.80229226,23.29749104,0.6153846153846154,0.5833333333333334,,,0.1549295774647887,0.1690140845070422,0.573065903,0.0,38.34859822,0.0,100.0,760989.0,,,0.0,11.5
10,23.73688538833853,3.1,1405.0,62.0,1.1,11.4,2.712342537,2.4,100.0,100.0,70.85978073,1.8,100.0,5450.819444,53.0,100.0,63.12752452,37.86644951,0.2676056338028169,0.2826086956521739,0.6,0.5625,0.2633136094674556,0.6124260355029586,1.557991922,0.0,33.0297989,0.311915159,99.59607617,478229.0,,,0.0,4.6
11,29.617792607124564,2.5,2934.0,54.0,3.5,8.3,2.668863168,1.4,82.50798722,83.06709265,61.90095847,1.8,100.0,7973.271429,60.0,100.0,62.22044728,16.51612903,0.9,0.835820895522388,0.9615384615384616,0.9545454545454546,0.0555555555555555,0.5952380952380952,0.0,0.0,51.69584757,2.13371266,100.0,1024397.0,49.36102236,,0.0,9.6
