NPA,Area-2020,Age_of_Residents-2021,Tree_Canopy-2012,Impervious_Surface-2023,Housing_Density-2023,Housing_Size-2023,Housing_Age-2023,New_Residential-2023,Residential_Renovation-2023,Commuters_Driving_Alone-2022,Vacant_Land-2023,Youth_Population-2022,Older_Adult_Population-2022,White_Population-2020,Black_Population-2020,Asian_Population-2020,All_Other_Races-2020,Hispanic_Latino-2020,Commercial_Construction-2023,Bachelors_Degree-2022,Early_Care_Proximity-2023,School_Age_Proximity-2023,Recycling_Participation-2022,Solid_Waste-2022,Solid_Waste_Diversion_Rate-2022,Electricity_Consumption-2013,Water_Consumption-2022,Low_Cost_Healthcare_Proximity-2022,Home_Ownership-2022,Single_Family_Housing-2023,Residential_Occupancy-2022,Nuisance_Violations-2022,Long_Commute -2022,Bicycle_Friendliness-2023,Street_Connectivity-2022,Transit_Proximity-2023,Household_Income-2021,Employment_Rate-2022,High_School_Diploma-2022,Rental_Costs-2021,Commercial_Space-2023,Commercial_Building_Age-2023,Adopt_a_Stream-2023,Transit_Ridership-2022,Grocery_Proximity-2023,Pharmacy_Proximity-2022,Population_Density-2020,Voter_Participation-2022,Residential_Tree_Canopy-2012,Library_Card_Prevalence-2018,311_Request_Rate-2022,Rental_Houses-2023,Births_to_Adolescents-2019,Low_Birthweight-2019,Prenatal_Care-2019,Age_of_Death-2019,Violent_Crime_Rate-2022,Property_Crime_Rate-2022,Disorder_Call_Rate-2022,Animal_Control_Call_Rate-2022,Proficiency_Elementary_School-2023,Proficiency_Middle_School-2023,Proficiency_High_School-2023,Highschool_Graduation_Rate-2023,Student_Absenteeism-2023,Neighborhood_School_Attendance-2023,Housing_Violations-2023,Foreclosures-2023,Adopt_a_Street-2023,Board_Committee_Participation-2023,Neighborhood_Organizations-2021,Park_Proximity-2023,Job_Density-2019,Home_Sale_Price-2023,Natural_Gas_Consumption-2013,Fire_Call_Rate-2021,Fincancial_Services_Proximity-2023,Public_Nutrition_Assistance-2023,Public_Health_Insurance -2017,Subsidized_Housing-2023,Residential_Demolitions-2023
2,410.557,31.0,56.15744120272065,23.43316158606484,2.8,1720.0,70.0,1.2,4.1,86.97788697788698,5.143478553,22.313671696387747,8.093278463648835,59.78,20.91,1.73,7.0,10.59,1.7,47.98206278026906,37.76408451,79.40140845,50.9,9.0,34.5,1078.0,123.0,84.9424269264836,38.69209809264305,44.63028169,94.02220324508968,8.060230292,44.96314496314496,1.8,1.25974026,100.0,56549.0,95.49180327868852,91.86418962203714,1020.0,10689.6087,51.0,100.0,21.67788462,60.65140845,36.14,5.0,58.63836018,68.7,18.19,46.89687354,23.47140039,1.64,18.03,70.49,68.0,11.199253383107791,60.19598693420439,225.85160989267385,24.265048996733555,0.3582089552238806,0.4310344827586206,0.1333333333333333,1.0,0.33003300330033,0.429042904290429,0.616197183,0.0,39.16436656,0.0,0.0,59.06690141,2.46,488364.0,43.0,49.0,24.47183099,,15.0,4.428697963,2.6
3,1156.15,33.0,41.9780814465191,38.16635024444839,8.4,2807.0,73.0,17.6,7.1,76.23436471362739,2.133670485,11.086453999075358,9.26490984743412,79.0,6.67,4.54,4.45,5.35,10.6,83.46370080664875,89.43734542,79.65787304,65.8,7.0,30.1,1012.0,185.0,98.2843713278495,38.90113350125944,16.37469085,86.4452912357104,2.244418331,34.496379196840024,2.3,1.589090909,100.0,103788.0,97.64293484830168,97.44561231972622,1679.0,22749.74394,60.0,100.0,30.20924908,60.41838417,97.23,10.0,60.58354721,60.7,13.54,26.1942084,18.69100063,1.4,10.23,72.56,70.0,3.877567857437505,60.39105684349476,156.42273739790446,18.397821961884333,0.9126984126984128,0.875,0.9245283018867924,1.0,0.0662557781201849,0.6841294298921418,0.061830173,0.0,57.19001547,0.990017325,4.0,91.47774114,34.33,667092.0,49.0,63.69,100.0,,6.0,3.889541716,0.6
4,329.242,43.1,65.98739193781418,21.78206237863977,1.2,4158.0,45.0,2.1,7.8,90.71207430340556,3.86541194,32.53094910591472,12.723521320495184,88.44,1.63,4.28,2.74,2.91,2.1,89.47368421052632,41.56479218,39.85330073,75.4,9.0,43.6,1858.0,262.0,25.0,100.0,89.24205379,89.69465648854961,3.431372549,26.0061919504644,1.7,1.155555556,86.55256724,250001.0,98.04195804195804,100.0,,,,0.0,2.467948718,17.84841076,2.7,4.0,74.51737452,68.4,19.29,38.6130137,7.945205479,0.0,0.0,76.92,,0.0,6.849315068493151,28.25342465753425,10.273972602739727,0.9428571428571428,0.8,0.7692307692307693,1.0,0.0616438356164383,0.7397260273972602,0.0,0.0,14.03411412,2.568493151,0.0,1.466992665,0.28,1493043.0,81.0,49.66,15.15892421,,1.0,0.0,7.3
5,167.141,32.9,42.17362245974374,21.546276295276297,2.1,1195.0,61.0,31.1,0.6,100.0,21.34649603,27.76735459662289,4.878048780487805,10.75,71.24,1.17,4.53,12.31,1.2,1.949860724233984,99.42528736,99.42528736,55.9,9.0,22.9,822.0,131.0,45.4022988505747,23.17596566523605,54.31034483,93.9516129032258,15.22988506,47.10144927536232,1.7,1.2,96.55172414,36786.0,84.72222222222221,71.3091922005571,784.0,25963.61111,56.0,100.0,11.56410256,8.045977011,46.26,5.0,30.21148036,56.0,18.01,65.41450777,62.43386243,9.09,13.64,31.82,64.0,11.658031088082902,25.906735751295336,152.84974093264248,53.10880829015544,0.1538461538461538,0.2592592592592592,0.1666666666666666,0.8333333333333334,0.4326241134751773,0.5673758865248227,3.448275862,0.0,25.12365586,0.0,2.0,100.0,1.16,255031.0,53.0,45.34,18.96551724,,43.0,0.0,2.9
6,403.223,38.0,43.716921321077294,25.103400225938337,2.0,1301.0,67.0,5.2,3.2,60.08403361344538,9.135076635,26.101249178172253,9.59894806048652,14.64,70.9,0.5,3.84,10.13,3.0,22.0,100.0,97.32685298,54.2,8.0,18.4,1020.0,124.0,100.0,31.459170013386885,82.9890644,87.98586572438163,34.03205919,28.71148459383753,1.8,1.309734513,100.0,47656.0,100.0,76.63636363636364,,9391.938776,56.0,,36.26923077,46.65856622,83.72,4.0,39.45841393,63.7,16.8,82.52643294,54.46559297,5.36,16.07,46.43,59.0,20.58987200890373,80.69003895381191,430.16138007790767,73.45575959933223,0.4042553191489361,0.238095238095238,0.3333333333333333,0.9047619047619048,0.3557692307692308,0.5384615384615384,1.944106926,0.313971743,39.65158615,0.0,2.0,79.82989064,1.36,445698.0,51.0,69.0,69.86634265,,38.0,0.0,8.5
7,547.938,49.4,55.74034472813659,28.469767309676072,1.5,5634.0,39.0,1.1,5.1,90.625,1.571880173,28.62783810463969,13.129318854886476,85.52,1.99,3.3,4.98,4.21,9.1,93.59165424739196,0.0,41.70616114,77.2,7.0,45.4,3161.0,330.0,67.6315789473684,92.41573033707866,49.0521327,87.25490196078431,0.263157895,78.125,1.5,1.211764706,76.54028436,250001.0,100.0,100.0,,15555.86735,33.0,99.74474137,10.48076923,66.3507109,64.87,2.0,67.42857143,64.3,10.68,28.19923372,5.797101449,0.0,0.0,71.43,84.0,0.7662835249042146,32.18390804597701,110.3448275862069,13.793103448275865,0.7857142857142857,0.8571428571428571,,1.0,0.0823529411764705,0.5882352941176471,0.118483412,0.0,46.3452656,0.0,0.0,41.70616114,4.46,2660173.0,113.0,114.18,75.59241706,,30.0,0.0,3.6
8,596.529,34.3,59.78600210502818,16.36731818162996,2.0,2081.0,55.0,0.0,3.0,90.23474178403757,2.031648199,8.444854637748039,30.27226580526073,75.57,11.17,3.83,3.99,5.45,3.0,61.21867881548975,15.06849315,12.75684932,63.2,8.0,34.8,884.0,141.0,47.8411053540587,47.088186356073216,39.12671233,97.4068071312804,11.39896373,42.91079812206573,1.6,1.158415842,98.71575342,71705.0,100.0,94.98861047835992,1375.0,6561.833333,37.0,70.16896762,4.769230769,16.01027397,28.24,3.0,66.31016043,67.4,10.64,36.35382956,12.03501094,0.0,10.0,68.0,85.0,2.696871628910464,27.50809061488673,45.84681769147788,15.64185544768069,0.5454545454545454,0.7083333333333334,0.2,0.8333333333333334,0.1351351351351351,0.5405405405405406,0.171232877,0.0,45.9802325,1.078748652,1.0,100.0,0.96,529911.0,50.0,27.51,45.71917808,,13.0,14.07599309,1.7
9,93.5625,34.2,59.48209314141557,25.277289741521425,3.7,1992.0,51.0,6.4,8.5,83.01886792452831,2.94407397,10.792580101180436,4.721753794266442,75.62,13.04,2.17,4.35,4.81,1.1,72.2117202268431,100.0,100.0,83.4,9.0,26.1,836.0,124.0,99.0625,83.51254480286738,79.94269341,93.0,21.5625,36.38814016172507,1.9,1.378378378,100.0,163417.0,100.0,100.0,1207.0,2563.611111,72.0,,1.945512821,80.80229226,100.0,7.0,66.08315098,67.7,18.17,40.52795031,23.29749104,0.0,20.69,72.41,,0.0,18.633540372670808,80.74534161490683,18.633540372670808,0.6153846153846154,0.5833333333333334,,,0.1549295774647887,0.1690140845070422,0.573065903,0.0,38.34859822,0.0,1.0,100.0,0.59,760989.0,40.0,54.35,,,11.0,0.0,11.5
10,551.246,34.0,48.90945865844058,23.73688538833853,3.1,1405.0,62.0,1.1,11.4,79.95034140285537,2.712342537,15.289730349971316,15.203671830177854,42.89,37.52,3.4,5.12,11.07,2.4,39.38136552244436,100.0,100.0,61.3,8.0,24.7,836.0,110.0,81.3940092165898,44.31586113002042,70.85978073,87.44047619047619,37.26958525,50.0310366232154,1.8,1.376811594,100.0,54580.0,94.15176413726438,78.42323651452283,1025.0,5450.819444,53.0,100.0,19.02617521,63.12752452,86.23,6.0,52.78044104,63.5,15.73,64.97192764,37.86644951,3.16,11.58,49.47,65.0,8.733624454148472,62.071116656269496,228.6338116032439,59.575795383655645,0.2676056338028169,0.2826086956521739,0.6,0.5625,0.2633136094674556,0.6124260355029586,1.557991922,0.0,33.0297989,0.311915159,1.0,99.59607617,1.12,478229.0,45.0,85.78,,,29.0,0.0,4.6
11,510.089,39.0,56.00361162589611,29.617792607124564,2.5,2934.0,54.0,3.5,8.3,91.67412712623096,2.668863168,17.5377969762419,15.637149028077754,85.92,1.67,3.2,4.23,4.98,1.4,79.17414721723519,82.50798722,83.06709265,60.8,7.0,40.4,1003.0,188.0,51.1721907841552,79.1015625,61.90095847,96.69499527856468,10.02425222,35.00447627573858,1.8,1.240384615,100.0,131413.0,98.75604699378025,96.34949132256136,1266.0,7973.271429,60.0,100.0,42.21538462,62.22044728,47.05,6.0,71.87802517,67.4,21.93,38.62019915,16.51612903,0.0,8.96,68.66,81.0,0.7112375533428166,24.18207681365576,66.14509246088194,24.53769559032717,0.9,0.835820895522388,0.9615384615384616,0.9545454545454546,0.0555555555555555,0.5952380952380952,0.0,0.0,51.69584757,2.13371266,1.0,100.0,3.62,1024397.0,49.0,63.66,49.36102236,,1.0,0.0,9.6
